,Close,Open,High,Low,Volume
2023-09-15 13:29:11.845878,1978.3972743204718,1970.395383057059,1987.5467908386802,1947.5225406248594,125259.33388812491
2023-09-18 13:29:11.845878,1967.0940190647723,1983.2030823990513,1998.497092038009,1946.025763249955,71147.42750230369
2023-09-19 13:29:11.845878,1996.3428215685822,1991.6409846218935,2004.7591320123304,1977.3313225786205,113781.13900327036
2023-09-20 13:29:11.845878,2020.4829775198793,2018.9351946317342,2034.5926043579764,1996.062209425627,128633.9036723763
2023-09-21 13:29:11.845878,2041.3123961072693,2050.0618150221585,2064.298339725407,2029.0074802447377,78837.21851319874
2023-09-22 13:29:11.845878,2049.224535859632,2045.0287982343066,2056.5460867594916,2030.3541960764812,149642.41849836925
2023-09-25 13:29:11.845878,2078.259706048003,2097.509673807792,2119.120600587918,2071.1760936786286,152691.12453216797
2023-09-26 13:29:11.845878,2061.8748487373146,2051.527622834597,2072.375460410766,2040.5516639109785,59499.200842686325
2023-09-27 13:29:11.845878,2058.289281313398,2064.8024492706854,2079.9168116911906,2046.979348198376,74912.79990360067
2023-09-28 13:29:11.845878,2054.2624382520826,2074.4440516191585,2085.2235632230886,2018.2964267397524,106804.09524801567
2023-09-29 13:29:11.845878,2026.67621187428,2038.5548448996153,2062.8389889395094,2000.4633595456812,84605.28170447545
2023-10-02 13:29:11.845878,2058.4152228129087,2059.3307735362055,2066.0335997097977,2044.6967944909202,57863.22687751445
2023-10-03 13:29:11.845878,2072.2452091413234,2078.967005083052,2082.7114560951222,2063.8173406965093,138600.57258635527
2023-10-04 13:29:11.845878,2078.925110961503,2080.4214011365407,2082.8039772156185,2067.121028528311,127345.00607613713
2023-10-05 13:29:11.845878,2075.4315461597657,2069.3274099252353,2090.1684336540566,2051.113456284027,97620.11315734715
2023-10-06 13:29:11.845878,2029.562255891626,2023.307223124606,2039.9065619426872,1997.2886738497841,100893.53147303255
2023-10-09 13:29:11.845878,1989.4965532174097,1980.3152385479182,2022.1745450684782,1950.9273279328343,97683.11063687284
2023-10-10 13:29:11.845878,2019.422066243478,2038.3772412303306,2042.8979434826504,2011.6515792182395,141374.31084272516
2023-10-11 13:29:11.845878,1965.4023436347047,1970.5391443602346,1984.2596252799515,1938.9599389070086,147645.5967795174
2023-10-12 13:29:11.845878,1914.441905608805,1926.6732917548327,1941.7057005112013,1902.3792008976632,64668.55898765109
2023-10-13 13:29:11.845878,1954.3523196705657,1964.6223386412519,1978.892897348723,1936.45735053598,107510.56109512341
2023-10-16 13:29:11.845878,1888.8368920101677,1890.5869434572617,1891.220465438055,1872.9789052303809,51578.49974781864
2023-10-17 13:29:11.845878,1878.0599042537972,1883.7151842010494,1889.5609892893294,1863.4266055836936,123575.36799090162
2023-10-18 13:29:11.845878,1868.086056481006,1861.7096171713406,1878.942179611164,1861.554056729261,146525.34737389497
2023-10-19 13:29:11.845878,1884.8121509439318,1881.7074859601717,1895.4036054388187,1879.4298188416808,65739.31095451153
2023-10-20 13:29:11.845878,1875.4851873569587,1876.2584212254383,1879.7955602525972,1866.2405877918816,126844.81453834071
2023-10-23 13:29:11.845878,1852.3834985956541,1855.3047358807182,1874.0760847218583,1832.9917475849868,103478.53711787901
2023-10-24 13:29:11.845878,1862.83850105854,1872.2746492181384,1881.9606604835915,1849.5685090576767,57349.98551537877
2023-10-25 13:29:11.845878,1957.7213188061837,1969.4977795895559,1984.713719344105,1933.7702550472202,85716.62473847205
2023-10-26 13:29:11.845878,1933.1176441023822,1927.0143645955507,1945.6686052644059,1909.3959260800493,98884.44884935347
2023-10-27 13:29:11.845878,1934.2763511145763,1937.1404161081027,1962.2647452759977,1915.0213866453848,91971.94997635021
2023-10-30 13:29:11.845878,1889.2884369727958,1892.7926243793522,1912.3923220063136,1881.244080507824,88080.94574182821
